city,hotel_name,hotel_score,url,description
Aix en Provence,Hôtel Paul,8.6,https://www.booking.com/hotel/fr/paul.fr.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9haXggZW4gcHJvdmVuY2VIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AsqQrNAGwAIB0gIkMDM0NjdiYWYtMzZhNC00NmJhLWJkODctYzIzMjkwZDYxM2I12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=921f58e5246b061f&srepoch=1779107919&from=searchresults,
Aix en Provence,Appartement des Augustins,9.2,https://www.booking.com/hotel/fr/appart-des-augustins.fr.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9haXggZW4gcHJvdmVuY2VIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AsqQrNAGwAIB0gIkMDM0NjdiYWYtMzZhNC00NmJhLWJkODctYzIzMjkwZDYxM2I12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=921f58e5246b061f&srepoch=1779107919&from=searchresults,
Aix en Provence,Hôtel des Augustins,8.4,https://www.booking.com/hotel/fr/les-augustins.fr.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9haXggZW4gcHJvdmVuY2VIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AsqQrNAGwAIB0gIkMDM0NjdiYWYtMzZhNC00NmJhLWJkODctYzIzMjkwZDYxM2I12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=921f58e5246b061f&srepoch=1779107919&from=searchresults,
Aix en Provence,Petit havre de paix en Provence!!!,,https://www.booking.com/hotel/fr/la-colombiere-charme-cote-sud-avec-piscine.fr.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9haXggZW4gcHJvdmVuY2VIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AsqQrNAGwAIB0gIkMDM0NjdiYWYtMzZhNC00NmJhLWJkODctYzIzMjkwZDYxM2I12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=921f58e5246b061f&srepoch=1779107919&from=searchresults,
Aix en Provence,Le Concorde,8.0,https://www.booking.com/hotel/fr/le-concorde-sarl-aix-en-provence.fr.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9haXggZW4gcHJvdmVuY2VIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AsqQrNAGwAIB0gIkMDM0NjdiYWYtMzZhNC00NmJhLWJkODctYzIzMjkwZDYxM2I12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=921f58e5246b061f&srepoch=1779107919&from=searchresults,
Aix en Provence,Aquabella Hôtel & Spa,8.8,https://www.booking.com/hotel/fr/hotel-aquabella.fr.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9haXggZW4gcHJvdmVuY2VIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AsqQrNAGwAIB0gIkMDM0NjdiYWYtMzZhNC00NmJhLWJkODctYzIzMjkwZDYxM2I12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=921f58e5246b061f&srepoch=1779107919&from=searchresults,
Aix en Provence,Hôtel Rotonde Aix-en-Provence centre,8.0,https://www.booking.com/hotel/fr/rotonde.fr.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9haXggZW4gcHJvdmVuY2VIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AsqQrNAGwAIB0gIkMDM0NjdiYWYtMzZhNC00NmJhLWJkODctYzIzMjkwZDYxM2I12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=921f58e5246b061f&srepoch=1779107919&from=searchresults,
Aix en Provence,Casa Stay,8.2,https://www.booking.com/hotel/fr/casa-hom.fr.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9haXggZW4gcHJvdmVuY2VIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AsqQrNAGwAIB0gIkMDM0NjdiYWYtMzZhNC00NmJhLWJkODctYzIzMjkwZDYxM2I12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=921f58e5246b061f&srepoch=1779107919&from=searchresults,
Aix en Provence,Grand Hôtel Roi René Aix - MGallery Collection,8.4,https://www.booking.com/hotel/fr/grand-mercure-roi-rene.fr.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9haXggZW4gcHJvdmVuY2VIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AsqQrNAGwAIB0gIkMDM0NjdiYWYtMzZhNC00NmJhLWJkODctYzIzMjkwZDYxM2I12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=921f58e5246b061f&srepoch=1779107919&from_sustainable_property_sr=1&from=searchresults,
Aix en Provence,Hôtel Boutique Cézanne centre Aix-en-Provence,8.7,https://www.booking.com/hotel/fr/cezanne-aix-en-provence.fr.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9haXggZW4gcHJvdmVuY2VIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AsqQrNAGwAIB0gIkMDM0NjdiYWYtMzZhNC00NmJhLWJkODctYzIzMjkwZDYxM2I12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=921f58e5246b061f&srepoch=1779107919&from=searchresults,
