city,lat,lon,avg_temp_7d,avg_pop_7d,total_rain_7d,avg_wind_7d,weather_score
Mont Saint Michel,48.6359541,-1.51146,15.9,0.2454,5.18,5.01,64.66
St Malo,48.649518,-2.0260409,15.64,0.2632,4.97,5.44,63.58
Bayeux,49.2764624,-0.7024738,15.74,0.1698,4.56,4.44,67.99
Le Havre,49.4938975,0.1079732,15.14,0.1586,6.48,4.35,64.32
Rouen,49.4404591,1.0939658,15.79,0.2849,7.11,3.35,61.69
Paris,48.8534951,2.3483915,16.31,0.1941,3.29,2.76,71.65
Amiens,49.8941708,2.2956951,15.0,0.3021,7.21,3.3,59.48
Lille,50.6365654,3.0635282,15.18,0.2273,3.97,3.59,66.71
Strasbourg,48.584614,7.7507127,14.99,0.2455,5.31,1.93,65.11
Chateau du Haut Koenigsbourg,48.249382,7.3439412,12.92,0.2074,4.5,1.66,63.54
Colmar,48.0777517,7.3579641,15.68,0.2402,3.96,1.71,68.85
Eguisheim,48.0447968,7.3079618,15.45,0.216,3.68,1.63,69.6
Besancon,47.2380222,6.0243622,14.9,0.1883,6.88,2.06,64.18
Dijon,47.3215806,5.0414701,14.65,0.2083,3.01,2.29,68.7
Annecy,45.8992348,6.1288847,15.69,0.1508,2.93,1.37,73.36
Grenoble,45.1875602,5.7357819,17.88,0.1763,3.18,1.41,76.57
Lyon,45.7578137,4.8320114,17.07,0.1247,1.71,1.67,78.5
Gorges du Verdon,43.7496562,6.3285616,15.17,0.0633,0.47,2.91,77.41
Bormes les Mimosas,43.1506968,6.3419285,17.31,0.0,0.0,3.79,83.59
Cassis,43.2140359,5.5396318,18.43,0.0177,0.15,3.9,84.98
Marseille,43.2963986,5.3777888,19.27,0.0332,0.4,3.94,85.79
Aix en Provence,43.5298424,5.4474738,19.79,0.0,0.0,3.33,88.92
Avignon,43.9492493,4.8059012,19.49,0.0,0.0,3.35,88.3
Uzes,44.0121279,4.4196718,18.85,0.0,0.0,2.65,87.58
Nimes,43.8374249,4.3600687,19.61,0.0,0.0,3.13,88.72
Aigues Mortes,43.5661521,4.19154,18.56,0.0,0.0,3.69,86.17
Saintes Maries de la mer,43.4515922,4.4277202,17.91,0.0,0.0,4.35,84.34
Collioure,42.52505,3.0831554,19.64,0.1315,2.72,2.22,81.48
Carcassonne,43.2130358,2.3491069,19.9,0.031,0.65,3.06,87.45
Ariege,42.9455368,1.4065544,15.07,0.1457,3.27,1.98,71.28
Toulouse,43.6044638,1.4442433,19.41,0.0092,0.18,2.52,88.26
Montauban,44.0175835,1.3549991,19.25,0.0,0.0,1.95,88.94
Biarritz,43.4832523,-1.5592776,19.0,0.0,0.0,2.82,87.74
Bayonne,43.4945144,-1.4736657,19.79,0.0,0.0,2.52,89.56
La Rochelle,46.159732,-1.1515951,16.93,0.1424,6.33,4.93,68.15
